"","TICKER_LIST","last_trade_price"
"928","DOV","171.29"
"929","DOW","58.31"
"930","DOX","75.7"
"931","DPG","14.25"
"932","DPW","2.13"
"933","DPZ","495.88"
"934","DRD","9.2"
"935","DRE","56.04"
"936","DRH","10.54"
"937","DRI","154.48"
"938","DRN","26.88"
"939","DRQ","23.63"
"940","DRV","39.89"
"941","DRW","25.3435"
"942","DSI","93.13"
"943","DSL","17.51"
"944","DSM","8.22"
"945","DSP","11.88"
"946","DSS","1.2"
"947","DSU","11.7"
"948","DSX","4.77"
"949","DTB","25.95"
"950","DTC","19.24"
"951","DTD","125.7322"
"952","DTE","114.13"
"953","DTF","14.47"
"954","DTH","38.9359"
"955","DTM","48.74"
"956","DTN","98.4451"
"957","DTP","50.25"
"958","DTW","26.26"
"959","DTY","25.65"
"960","DUG","8.72"
"961","DUK","101.68"
"962","DUO","1.07"
"963","DVA","109.36"
"964","DVD","2.29"
"965","DVN","43.58"
"966","DVY","120.43"
"967","DWM","54.7138"
"968","DWX","39.27"
"969","DXC","34.33"
"970","DXD","8.25"
"971","DXF","1.37"
"972","DXJ","63.97"
"973","DXR","11.4999"
"974","DYN","15.02"
"975","DZZ","2.705"
"976","EAC","9.77"
"977","EAD","8.9"
"978","EAF","13.31"
"979","EAI","25.37"
"980","EAR","8.46"
"981","EAT","44.65"
"982","EBC","21.79"
"983","EBF","19.8"
"984","EBR","6.26"
"985","EBS","33.11"
"986","ECC","14.81"
"987","ECF","14.13"
"988","ECH","26.46"
"989","ECL","230.68"
"990","EDC","81.37"
"991","EDD","5.8"
"992","EDF","7.27"
"993","EDI","8.55"
"994","EDN","6.47"
"995","EDR","26.2"
"996","EDU","2.04"
"997","EDV","141.55"
"998","EDZ","9.02"
"999","EEA","11.58"
"1000","EEH","33.7856"
"1001","EEM","50.92"
"1002","EES","53.41"
"1003","EET","90.5866"
"1004","EEV","16.5113"
"1005","EEX","5"
"1006","EFA","81.83"
"1007","EFC","18.43"
"1008","EFG","113.4"
"1009","EFL","9.35"
"1010","EFO","54.7903"
"1011","EFR","15.29"
"1012","EFT","15.22"
"1013","EFU","9.535"
"1014","EFV","52.5"
"1015","EFX","284.56"
"1016","EFZ","17.548"
"1017","EGF","12.59"
"1018","EGO","9.66"
"1019","EGP","199.22"
"1020","EGY","4.21"
"1021","EHC","65.03"
"1022","EHI","10.07"
"1023","EIC","18.25"
"1024","EIG","40.91"
"1025","EIM","13.45"
"1026","EIS","78"
"1027","EIX","64.05"
"1028","EJH","2.73"
"1029","ELA","4.5"
"1030","ELC","25.36"
"1031","ELD","31.0175"
"1032","ELF","31.33"
"1033","ELP","5.29"
"1034","ELS","84.79"
"1035","ELY","29.4"
"1036","EMB","110.82"
"1037","EMD","13.59"
"1038","EME","132.25"
"1039","EMF","17.6"
"1040","EML","24.25"
"1041","EMN","111.83"
"1042","EMO","23.94"
"1043","EMP","25.46"
"1044","EMR","97.93"
"1045","EMX","2.64"
"1046","ENB","43.3"
"1047","ENG","2.46"
"1048","ENJ","25.46"
"1049","ENO","25.65"
"1050","ENR","38.54"
"1051","ENS","85.49"
"1052","ENV","83.97"
"1053","ENX","12.41"
"1054","ENZ","3.32"
"1055","EOD","5.81"
"1056","EOG","95.12"
"1057","EOI","19.81"
"1058","EOS","24.59"
"1059","EOT","22.62"
"1060","EPC","38.38"
"1061","EPD","22.58"
"1062","EPI","38.41"
"1063","EPM","5.97"
"1064","EPP","51.31"
"1065","EPR","53.85"
"1066","EPS","49.3662"
"1067","EPU","29.35"
"1068","EPV","10.9"
"1069","EQC","26.14"
"1070","EQD","9.84"
"1071","EQH","35.19"
"1072","EQL","107.9657"
"1073","EQR","84.46"
"1074","EQS","2.34"
"1075","EQT","20.58"
"1076","EQX","7.77"
"1077","ERC","13.4"
"1078","ERF","10.2"
"1079","ERH","14.49"
"1080","ERJ","16.79"
"1081","ERM","26.2963"
"1082","ERO","18.17"
"1083","ERX","32.44"
"1084","ERY","10.67"
"1085","ESE","90.32"
"1086","ESG","115.1939"
"1087","ESI","26.03"
"1088","ESM","9.74"
"1089","ESP","14.77"
"1090","ESQ","33.68"
"1091","ESS","337.08"
"1092","ETB","16.69"
"1093","ETD","24.87"
"1094","ETG","22.59"
"1095","ETJ","11.49"
"1096","ETN","171.3"
"1097","ETO","33.12"
"1098","ETR","104.25"
"1099","ETV","16.67"
"1100","ETW","11.16"
"1101","ETX","22.282"
"1102","ETY","14.87"
"1103","EUM","12.47"
"1104","EUO","24.96"
"1105","EVA","68.14"
"1106","EVC","8.97"
"1107","EVF","7.03"
"1108","EVG","13.4"
"1109","EVH","29.68"
"1110","EVI","33.99"
"1111","EVK","3.25"
"1112","EVM","11.95"
"1113","EVN","13.78"
"1114","EVO","22.55"
"1115","EVR","151.25"
"1116","EVT","29.36"
"1117","EVV","13.33"
"1118","EVX","157.3518"
"1119","EWA","26.43"
"1120","EWC","39.66"
"1121","EWD","48.88"
"1122","EWG","34.53"
"1123","EWH","24.52"
"1124","EWI","34.38"
"1125","EWJ","70.36"
"1126","EWK","22.48"
"1127","EWL","50.91"
"1128","EWM","25.62"
"1129","EWN","53.12"
"1130","EWO","26.41"
"1131","EWP","28.32"
"1132","EWQ","40.4"
"1133","EWS","24.28"
"1134","EWT","64.06"
"1135","EWU","33.53"
"1136","EWV","12.4019"
"1137","EWW","49.67"
"1138","EWX","60.19"
"1139","EWY","79.47"
"1140","EWZ","29.95"
"1141","EXC","54.14"
"1142","EXD","12.02"
"1143","EXG","10.69"
"1144","EXI","125.0754"
"1145","EXK","5.21"
"1146","EXN","1.39"
"1147","EXP","155.59"
"1148","EXR","194.6"
"1149","EYE","64.95"
"1150","EZA","48.41"
"1151","EZJ","49.263"
"1152","EZM","56.82"
"1153","EZU","51.47"
"1154","FAB","75.02"
"1155","FAD","130.085"
"1156","FAF","75.41"
"1157","FAM","10.01"
"1158","FAN","20.8"
"1159","FAS","143.34"
"1160","FAT","11.2"
"1161","FAX","4.08"
"1162","FAZ","18.44"
"1163","FBC","48.29"
"1164","FBK","47.44"
"1165","FBP","14.2"
"1166","FBT","164.12"
"1167","FBZ","11.8856"
